Organization Type,Organization Name,Organization Number,NCES ID,Mailing Street Address,Mailing City,Mailing State,Mailing Zip,Site Street Address,Site City,Site State,Site Zip,Phone,Fax,Email Address,Web Page Address,Administrator,County Name,County Number,Region Number,District Name,District Number,Organization Sub Type,Charter Type,Grade Range,Enrollment as of Oct 2019,Magnet Status,Residential Facility,Alternative Education Accountability 2019,High School Code (CEEB Code), Organization Status
school,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,'057905085,'481623012028,1700 E CAMP WISDOM,DALLAS,TX,75241,1700 E CAMP WISDOM,DALLAS,TX,75241,(214) 932-7300,(214) 932-7301,GSMITH@dallasisd.org,www.dallasisd.org/Page/1948,GAYLE SMITH,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,373,No,No,Not registered,441861,Active 
school,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,'057905088,'481623011197,4849 ILLINOIS AVE STE W53A,DALLAS,TX,75211,4849 ILLINOIS AVE STE W53A,DALLAS,TX,75211,(214) 860-3680,(214) 860-3689,MacHernandez@dallasisd.org,www.dallasisd.org/garza,MACARIO FIDEL HERNANDEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,450,No,No,Not registered,441849,Active 
school,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,'057905090,'481623006532,701 ELM ST 1ST FLOOR,DALLAS,TX,75202,701 ELM ST 1ST FLOOR,DALLAS,TX,75202,(214) 860-2356,(214) 860-2359,mstama@dallasisd.org,www.dallasisd.org/lassiter,MICHAEL HOYT ST AMA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,252,No,No,Not registered,441778,Active 
school,JUVENILE JUSTICE AEP,'057905096,'481623010565,1673 TERRE COLONY,DALLAS,TX,75212,1673 TERRE COLONY,DALLAS,TX,75212,(972) 925-5547,(972) 000-0000,janeallen@dallasisd.org,,JANET ALLEN,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,JJAEP INSTRUCTIONAL,,'KG-12,12,No,No,Not registered,,Active 
school,HOSPITAL/HOMEBOUND,'057905099,'481623006391,912 S ERVAY STE 309,DALLAS,TX,75201-6426,912 S ERVAY STE 309,DALLAS,TX,75201-6426,(972) 581-4115,(972) 581-4111,NotApplicable@dallasisd.org,,SPECIAL ED DEPARTMENT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,ALTERNATIVE INSTRUCTIONAL,,'EE KG-12,90,No,No,Registered,,Active 
school,ZAN WESLEY HOLMES JR MIDDLE,'057905100,'481623012869,2939 ST RITA DR,DALLAS,TX,75233,2939 ST RITA DR,DALLAS,TX,75233,(214) 932-7800,(972) 932-7801,BMoham@dallasisd.org,www.dallasisd.org/zwholmes,BARBARA FRANKLIN MOHAM,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'06-08,757,No,No,Not registered,449848,Active 
school,JOHN Q ADAMS EL,'057905101,'481623001287,8239 LK JUNE RD,DALLAS,TX,75217-2104,8239 LK JUNE RD,DALLAS,TX,75217-2104,(972) 794-1200,(972) 794-1201,MTotsukaReyes@dallasisd.org,www.dallasisd.org/jqadams,MARIA DE LOS ANGELES TOTSUKA REYES,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,661,No,No,Not registered,,Active 
school,PREK PARTNERSHIP CENTER,'057905102,'481623013334,2909 N BUCKNER ROOM 703,DALLAS,TX,75228,2909 N BUCKNER ROOM 703,DALLAS,TX,75228,(972) 925-6786,(972) 794-3519,ycardoza@dallasisd.org,www.dallasisd.org/Domain/10504,MARIA MOLINARES,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK,1260,No,No,Not registered,,Active 
school,GABE P ALLEN CHARTER SCHOOL,'057905103,'481623001208,5220 NOMAS ST,DALLAS,TX,75212-3229,5220 NOMAS ST,DALLAS,TX,75212-3229,(972) 794-5100,(972) 794-5101,SOrtizEspinell@dallasisd.org,www.dallasisd.org/allen,SHEILA ORTIZ ESPINELL,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-06,462,No,No,Not registered,,Active 
school,WILLIAM M ANDERSON EL,'057905104,'481623001384,620 N ST AUGUSTINE DR,DALLAS,TX,75217-4111,620 N ST AUGUSTINE DR,DALLAS,TX,75217-4111,(972) 749-6200,(972) 749-6201,sylvgarc@dallasisd.org,www.dallasisd.org/domain/2125,SILVIA G GARCIA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,634,No,No,Not registered,,Active 
school,ARCADIA PARK EL,'057905105,'481623001209,1300 N JUSTIN AVE,DALLAS,TX,75211,1300 N JUSTIN AVE,DALLAS,TX,75211,(972) 502-5300,(972) 502-5301,KeOhara@dallasisd.org,www.dallasisd.org/arcadiapark,KELLY S OHARA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-06,676,No,No,Not registered,,Active 
school,JOSE 'JOE' MAY EL,'057905107,'481623012062,9818 BROCKBANK DR,DALLAS,TX,75220,9818 BROCKBANK DR,DALLAS,TX,75220,(972) 749-4800,(972) 749-4801,IRivera@dallasisd.org,,ISRAEL RIVERA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,827,No,No,Not registered,,Active 
school,BAYLES EL,'057905108,'481623001212,2444 TELEGRAPH AVE,DALLAS,TX,75228-5819,2444 TELEGRAPH AVE,DALLAS,TX,75228-5819,(972) 749-8900,(972) 749-8901,RobWilson@dallasisd.org,www.dallasisd.org/bayles,GLORIA F KENNEDY,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,481,No,No,Not registered,,Active 
school,W A BLAIR EL,'057905109,'481623001213,7720 GAYGLEN DR,DALLAS,TX,75217-6715,7720 GAYGLEN DR,DALLAS,TX,75217-6715,(972) 794-1600,(972) 794-1601,UTurner@dallasisd.org,www.dallasisd.org/blair,UMOJA S TURNER,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,558,No,No,Not registered,,Active 
school,ANNIE WEBB BLANTON EL,'057905110,'481623001214,8915 GREENMOUND AVE,DALLAS,TX,75227-8399,8915 GREENMOUND AVE,DALLAS,TX,75227-8399,(972) 794-1700,(972) 794-1701,LAGARZA@dallasisd.org,www.dallasisd.org/blanton,ALICIA D IWASKO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,628,No,No,Not registered,,Active 
school,JAMES BOWIE EL,'057905112,'481623001215,330 N MARSALIS AVE,DALLAS,TX,75203-1714,330 N MARSALIS AVE,DALLAS,TX,75203-1714,(972) 925-6600,(972) 925-6601,ccastro@dallasisd.org,www.dallasisd.org/bowie,CAROLINE NOELLE WILSON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,413,No,No,Not registered,,Active 
school,JOHN NEELY BRYAN EL,'057905114,'481623001218,2001 DEER PATH DR,DALLAS,TX,75216-4601,2001 DEER PATH DR,DALLAS,TX,75216-4601,(972) 502-8500,(972) 502-8501,tonanderson@dallasisd.org,dallasisd.org/bryan,TONYA M ANDERSON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,354,No,No,Not registered,,Active 
school,HARRELL BUDD EL,'057905115,'481623001221,2121 S MARSALIS AVE,DALLAS,TX,75216-2311,2121 S MARSALIS AVE,DALLAS,TX,75216-2311,(972) 502-8400,(972) 502-8401,ABarnes@dallasisd.org,www.dallasisd.org/budd,ANITA BARNES,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,515,No,No,Not registered,,Active 
school,DAVID G BURNET EL,'057905116,'481623001223,3200 KINKAID DR,DALLAS,TX,75220-1623,3200 KINKAID DR,DALLAS,TX,75220-1623,(972) 794-3000,(972) 794-3001,SLOSKOT@dallasisd.org,www.dallasisd.org/burnet,SONIA P LOSKOT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,623,No,No,Not registered,,Active 
school,RUFUS C BURLESON EL,'057905117,'481623001222,6300 ELAM RD,DALLAS,TX,75217-5665,6300 ELAM RD,DALLAS,TX,75217-5665,(972) 749-4500,(972) 749-4501,LaJohnson@dallasisd.org,www.dallasisd.org/Domain/483,LAJOYCE S JOHNSON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,561,No,No,Not registered,,Active 
school,W W BUSHMAN EL,'057905118,'481623001224,4200 BONNIE VIEW RD,DALLAS,TX,75216-6608,4200 BONNIE VIEW RD,DALLAS,TX,75216-6608,(972) 749-1800,(972) 749-1801,YKNIGHT@dallasisd.org,www.dallasisd.org/bushman,YOLANDA KNIGHT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,397,No,No,Not registered,,Active 
school,CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH,'057905119,'481623001385,12701 TEMPLETON TRL,DALLAS,TX,75234-6563,12701 TEMPLETON TRL,DALLAS,TX,75234-6563,(972) 794-2400,(972) 794-2401,FHYPOLITE@dallasisd.org,www.dallasisd.org/cabell,FABIAN A HYPOLITE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,470,No,No,Not registered,,Active 
school,F P CAILLET EL,'057905120,'481623001226,3033 MERRELL RD,DALLAS,TX,75229-4973,3033 MERRELL RD,DALLAS,TX,75229-4973,(972) 794-3200,(972) 794-3201,JPANTOJA@dallasisd.org,www.dallasisd.org/caillet,OSCAR NANDAYAPA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,647,No,No,Not registered,,Active 
school,JOHN W CARPENTER EL,'057905121,'481623001227,2121 TOSCA LN,DALLAS,TX,75224-4179,2121 TOSCA LN,DALLAS,TX,75224-4179,(972) 794-6000,(972) 794-6001,chcurtis@dallasisd.org,www.dallasisd.org/carpenter,VERNA FARMER,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,278,No,No,Not registered,,Active 
school,C F CARR EL,'057905122,'481623001228,1952 BAYSIDE ST,DALLAS,TX,75212-1713,1952 BAYSIDE ST,DALLAS,TX,75212-1713,(972) 794-4300,(972) 794-4301,CATHOMAS@dallasisd.org,www.dallasisd.org/carr,CARLOTTA HOOKS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-06,309,No,No,Not registered,,Active 
school,CASA VIEW EL,'057905125,'481623001232,2100 N FAROLA DR,DALLAS,TX,75228-2226,2100 N FAROLA DR,DALLAS,TX,75228-2226,(972) 749-7700,(972) 749-7701,TGARIBAY@dallasisd.org,www.dallasisd.org/casaview,THANIA GARIBAY,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,672,No,No,Not registered,,Active 
school,CENTRAL EL,'057905126,'481623001233,902 SHADY LN,SEAGOVILLE,TX,75159-2628,902 SHADY LN,SEAGOVILLE,TX,75159-2628,(972) 749-6800,(972) 749-6801,JuMiller@dallasisd.org,www.dallasisd.org/central,JULIE D SINGLETON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,594,No,No,Not registered,,Active 
school,MARTIN LUTHER KING JR LEARNING CENTER,'057905128,'481623001238,1817 WARREN AVE,DALLAS,TX,75215-3475,1817 WARREN AVE,DALLAS,TX,75215-3475,(972) 502-8100,(972) 502-8101,GlPatrick@dallasisd.org,www.dallasisd.org/mlk,ROCKELL L STEWART,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,449,No,No,Not registered,,Active 
school,S S CONNER EL,'057905129,'481623001240,3037 GREENMEADOW DR,DALLAS,TX,75228,3037 GREENMEADOW DR,DALLAS,TX,75228-5124,(972) 749-8200,(972) 749-8201,kiaking@dallasisd.org,www.dallasisd.org/conner,KIASHAN KING,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,625,No,No,Not registered,,Active 
school,LEILA P COWART EL,'057905130,'481623001241,1515 S RAVINIA DR,DALLAS,TX,75211-5742,1515 S RAVINIA DR,DALLAS,TX,75211-5742,(972) 794-5500,(972) 794-5501,LUCSALINAS@dallasisd.org,www.dallasisd.org/cowart,LUCIA SALINAS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,585,No,No,Not registered,,Active 
school,IGNACIO ZARAGOZA EL,'057905131,'481623001243,4550 WORTH ST,DALLAS,TX,75246-1101,4550 WORTH ST,DALLAS,TX,75246-1101,(972) 749-8600,(972) 749-8601,ANBELL@dallasisd.org,www.dallasisd.org/zaragoza,LINDA OLIVAREZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,351,No,No,Not registered,,Active 
school,BARBARA JORDAN EL,'057905133,'481623001246,1111 W KIEST BLVD,DALLAS,TX,75224-3230,1111 W KIEST BLVD,DALLAS,TX,75224-3230,(972) 925-8100,(972) 925-8101,lhopkins@dallasisd.org,www.dallasisd.org/jordan,LUCY S HOPKINS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,521,No,No,Not registered,,Active 
school,GEORGE B DEALEY MONTESSORI ACADEMY,'057905134,'481623006932,6501 ROYAL LN,DALLAS,TX,75230-4174,6501 ROYAL LN,DALLAS,TX,75230-4174,(972) 794-8400,(972) 794-8401,BeLusk@dallasisd.org,www.dallasisd.org/Page/2268,BETH G WING,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-08,633,Yes,No,Not registered,449437,Active 
school,EVERETTE LEE DEGOLYER EL,'057905135,'481623006933,3453 FLAIR DR,DALLAS,TX,75229-2603,3453 FLAIR DR,DALLAS,TX,75229-2603,(972) 794-2800,(972) 794-2801,tarmays@dallasisd.org,www.dallasisd.org/degolyer,TARA L MAYS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,399,No,No,Not registered,,Active 
school,L O DONALD EL,'057905136,'481623001249,1218 PHINNEY AVE,DALLAS,TX,75211-6235,1218 PHINNEY AVE,DALLAS,TX,75211-6235,(972) 794-5300,(972) 794-5301,KACARTER@dallasisd.org,www.dallasisd.org/donald,KATHRYN J CARTER,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,403,No,No,Not registered,,Active 
school,JULIUS DORSEY EL,'057905137,'481623001250,133 N ST AUGUSTINE DR,DALLAS,TX,75217-7214,133 N ST AUGUSTINE DR,DALLAS,TX,75217-7214,(972) 749-6300,(972) 749-6301,RUSANCHEZ@dallasisd.org,www.dallasisd.org/Domain/504,RUBINNA A SANCHEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,466,No,No,Not registered,,Active 
school,PAUL L DUNBAR LEARNING CENTER,'057905139,'481623001325,4200 METROPOLITAN AVE,DALLAS,TX,75210-1123,4200 METROPOLITAN AVE,DALLAS,TX,75210-1123,(972) 794-6600,(972) 794-6601,VFARMER@dallasisd.org,www.dallasisd.org/dunbar,ALPHER GARRETT-JONES,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,514,No,No,Not registered,,Active 
school,JILL STONE EL AT VICKERY MEADOW,'057905141,'481623007855,6606 RIDGECREST RD,DALLAS,TX,75231-7002,6606 RIDGECREST RD,DALLAS,TX,75231-7002,(972) 502-7900,(972) 502-7901,rpratt@dallasisd.org,www.dallasisd.org/Page/2466,ROSALINDA PRATT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,301,No,No,Not registered,,Active 
school,J N ERVIN EL,'057905142,'481623005442,3722 BLACK OAK DR,DALLAS,TX,75241-3307,3722 BLACK OAK DR,DALLAS,TX,75241-3307,(972) 749-3700,(972) 749-3701,JAWALLACE@dallasisd.org,www.dallasisd.org/ervin,JAMES WALLACE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,640,No,No,Not registered,,Active 
school,STEPHEN C FOSTER EL,'057905145,'481623001258,3700 CLOVER LN,DALLAS,TX,75220-3610,3700 CLOVER LN,DALLAS,TX,75220-3610,(972) 794-8100,(972) 794-8101,IDELAGUARDIA@dallasisd.org,www.dallasisd.org/foster,IRMA P DE LA GUARDIA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,660,No,No,Not registered,,Active 
school,CHARLES A GILL EL,'057905147,'481623001264,10910 FERGUSON RD,DALLAS,TX,75228-2376,10910 FERGUSON RD,DALLAS,TX,75228-2376,(972) 749-8400,(972) 749-8401,SFREELON@dallasisd.org,www.dallasisd.org/gill,SHAWKI FREELON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,720,No,No,Not registered,,Active 
school,TOM C GOOCH EL,'057905148,'481623001265,4030 CALCULUS RD,DALLAS,TX,75244-7215,4030 CALCULUS RD,DALLAS,TX,75244-7215,(972) 794-2500,(972) 794-2501,KPRAYS@DALLASISD.ORG,www.dallasisd.org/gooch,KIM L ASHMORE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,406,No,No,Not registered,,Active 
school,LENORE KIRK HALL EL,'057905149,'481623001268,2120 KEATS DR,DALLAS,TX,75211-8538,2120 KEATS DR,DALLAS,TX,75211-8538,(972) 794-5400,(972) 794-5401,ADRGONZALEZ@dallasisd.org,www.dallasisd.org/hall,OLGA ROMERO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,487,No,No,Not registered,,Active 
school,MARGARET B HENDERSON EL,'057905152,'481623001274,2200 S EDGEFIELD AVE,DALLAS,TX,75224-1142,2200 S EDGEFIELD AVE,DALLAS,TX,75224-1142,(972) 749-2900,(972) 749-2901,iescobedo@dallasisd.org,www.dallasisd.org/henderson,IDA C ESCOBEDO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,441,No,No,Not registered,,Active 
school,VICTOR H HEXTER EL,'057905153,'481623001275,9720 WATERVIEW RD,DALLAS,TX,75218-2137,9720 WATERVIEW RD,DALLAS,TX,75218-2137,(972) 502-5800,(972) 502-5801,JENJACKSON@dallasisd.org,www.dallasisd.org/hexter,JENNIFER KAREN JACKSON,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,527,No,No,Not registered,,Active 
school,LARRY G SMITH EL,'057905154,'481623010566,5299 GUS THOMASSON RD,MESQUITE,TX,75150-1064,5299 GUS THOMASSON RD,MESQUTE,TX,75150-1064,(972) 502-4800,(972) 502-4801,lomorris@dallasisd.org,www.dallasisd.org/lgsmith,LORA D MORRIS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,834,No,No,Not registered,,Active 
school,C A TATUM JR EL,'057905155,'481623010567,3002 ST AUGUSTINE RD,DALLAS,TX,75227,3002 ST AUGUSTINE RD,DALLAS,TX,75227,(972) 502-2000,(972) 502-2001,jpecina@dallasisd.org,www.dallasisd.org/tatum,ENRIQUE RODRIGUEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'KG-05,440,No,No,Not registered,,Active 
school,NATHANIEL HAWTHORNE EL,'057905156,'481623001272,7800 UMPHRESS RD,DALLAS,TX,75217-1814,7800 UMPHRESS RD,DALLAS,TX,75217-1814,(972) 749-4700,(972) 749-4701,ANFERNANDEZ@dallasisd.org,www.dallasisd.org/hawthorne,ANA G FERNANDEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,468,No,No,Not registered,,Active 
school,JAMES S HOGG EL,'057905157,'481623001278,1144 N MADISON AVE,DALLAS,TX,75208-4132,1144 N MADISON AVE,DALLAS,TX,75208-4132,(972) 502-8600,(972) 502-8601,JCasco@dallasisd.org,www.dallasisd.org/hogg,JAIRO CASCO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,297,No,No,Not registered,,Active 
school,LIDA HOOE EL,'057905158,'481623001281,2419 GLADSTONE DR,DALLAS,TX,75211-5312,2419 GLADSTONE DR,DALLAS,TX,75211-5312,(972) 794-6700,(972) 794-6701,ferodriguez@dallasisd.org,www.dallasisd.org/hooe,FERNANDO RODRIGUEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,425,No,No,Not registered,,Active 
school,L L HOTCHKISS EL,'057905159,'481623001282,6929 TOWN N DR,DALLAS,TX,75231-8117,6929 TOWN N DR,DALLAS,TX,75231-8117,(972) 749-7000,(972) 749-7001,ccriner@dallasisd.org,www.dallasisd.org/hotchkiss,ROCIO S BERNAL,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,716,No,No,Not registered,,Active 
school,PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,'057905160,'481623001283,2827 THROCKMORTON AVE,DALLAS,TX,75219-3447,2827 THROCKMORTON AVE,DALLAS,TX,75219-3447,(972) 749-5800,(972) 749-5801,onandayapa@dallasisd.org,www.dallasisd.org/houston,RAYMIE L VENABLE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,233,No,No,Not registered,,Active 
school,JOHN IRELAND EL,'057905161,'481623001285,1515 N JIM MILLER RD,DALLAS,TX,75217-1319,1515 N JIM MILLER RD,DALLAS,TX,75217-1319,(972) 749-4900,(972) 749-4901,SAMAYA@dallasisd.org,www.dallasisd.org/ireland,STEPHANIE AMAYA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,486,No,No,Not registered,,Active 
school,MOCKINGBIRD EL,'057905162,'481623001365,5828 E MOCKINGBIRD LN,DALLAS,TX,75206-5424,5828 E MOCKINGBIRD LN,DALLAS,TX,75206-5424,(972) 749-7200,(972) 749-7201,MEPOTTS@dallasisd.org,www.dallasisd.org/sjackson,MELANIE A MANS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'KG-05,704,No,No,Not registered,,Active 
school,CEDAR CREST EL,'057905163,'481623001290,2020 MOUSER ST,DALLAS,TX,75203-3942,2020 MOUSER ST,DALLAS,TX,75203-3942,(972) 925-7400,(972) 925-7401,MICHELEMARTIN@DALLASISD.ORG,www.dallasisd.org/johnston,CONSTANCE JAWAID,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,370,No,No,Not registered,,Active 
school,ANSON JONES EL,'057905164,'481623001291,3901 MEREDITH AVE,DALLAS,TX,75211-4761,3901 MEREDITH AVE,DALLAS,TX,75211-4761,(972) 794-4700,(972) 794-4701,ALBHERRERA@dallasisd.org,www.dallasisd.org/jones,GUILLERMO R CORTEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-06,614,No,No,Not registered,,Active 
school,EDWIN J KIEST EL,'057905166,'481623001294,2611 HEALEY DR,DALLAS,TX,75228-3545,2611 HEALEY DR,DALLAS,TX,75228-3545,(972) 502-5600,(972) 502-5601,yacruz@dallasisd.org,www.dallasisd.org/kiest,GERARDO HERNANDEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,699,No,No,Not registered,,Active 
school,KLEBERG EL,'057905167,'481623001296,1450 EDD RD,DALLAS,TX,75253-4801,1450 EDD RD,DALLAS,TX,75253-4801,(972) 749-6500,(972) 749-6501,azbylut@dallasisd.org,www.dallasisd.org/kleberg,AMY K ZBYLUT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,775,No,No,Not registered,,Active 
school,OBADIAH KNIGHT EL,'057905168,'481623001297,2615 ANSON RD,DALLAS,TX,75235-3798,2615 ANSON RD,DALLAS,TX,75235-3798,(972) 749-5300,(972) 749-5301,ENESCOBEDO@dallasisd.org,www.dallasisd.org/knight,ENRIQUE ESCOBEDO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-05,451,No,No,Not registered,,Active 
school,ARTHUR KRAMER EL,'057905169,'481623006681,7131 MIDBURY DR,DALLAS,TX,75230-3168,7131 MIDBURY DR,DALLAS,TX,75230-3168,(972) 794-8300,(972) 794-8301,KATEWALKER@dallasisd.org,www.dallasisd.org/kramer,KATE WALKER,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,628,No,No,Not registered,,Active 
school,RICHARD LAGOW EL,'057905170,'481623001299,637 EDGEWORTH DR,DALLAS,TX,75217-8108,687 EDGEWORTH DR,DALLAS,TX,75217-8108,(972) 749-6600,(972) 749-6601,jluedecke@dallasisd.org,www.dallasisd.org/lagow,JOSEPH A LUEDECKE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,535,No,No,Not registered,,Active 
school,LAKEWOOD EL,'057905171,'481623001300,3000 HILLBROOK ST,DALLAS,TX,75214-3412,3000 HILLBROOK ST,DALLAS,TX,75214-3412,(972) 749-7300,(972) 749-7301,KWILKE@dallasisd.org,www.dallasisd.org/lakewood,NICOLA THORN,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'KG-05,1007,No,No,Not registered,,Active 
school,JIMMIE TYLER BRASHEAR EL,'057905172,'481623010568,2959 HAMPTON RD,DALLAS,TX,75204,2959 HAMPTON RD,DALLAS,TX,75204,(972) 502-2600,(972) 502-2601,SBarnes@dallasisd.org,www.dallasisd.org/brashear,SONJA LYNN BARNES,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'EE-05,697,No,No,Not registered,,Active 
school,SIDNEY LANIER EXPRESSIVE ARTS VANGUARD,'057905173,'481623001301,1400 WALMSLEY AVE,DALLAS,TX,75208-1551,1400 WALMSLEY AVE,DALLAS,TX,75208-1551,(972) 794-4400,(972) 794-4401,aperaza@dallasisd.org,www.dallasisd.org/lanier,ALYSSA C PERAZA,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'PK-07,708,Yes,No,Not registered,,Active 
